store,websites,attribute_set,type,category_ids,url,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,color,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,format,sku_type,weight_type,price_type,price_view,shipment_type
es,base,Té,simple,"5,1",http://magento-dev.kongo.cl/matcha-te-verde-en-polvo?___store=es,100100,0,Té Matcha: Té Verde en Polvo,Té Matcha: Té Verde en Polvo | ArTea: Tienda de Té,,,,,matcha-te-verde-en-polvo,matcha-te-verde-en-polvo,,No layout updates,Product Info Column,Té Matcha: Té Verde en Polvo,Té Matcha: Té Verde en Polvo,Té Matcha: Té Verde en Polvo,Taiwan,Use config,Use config,No,9900.0000,,0.1000,,,Enabled,No,"Catalog, Search",Shipping,"<p>El té verde tiene muchas variedades para ofrecer. Las hay en todas las variantes que podamos imaginar. Y también viene en polvo, conociéndose como té Matcha a ese tipo de té verde. El té Matcha sirve tanto para ser bebido (frío o caliente) como así también como ingrediente en la preparación de diversas comidas.</p>

<p>Al consumir té Matcha se logra asimilar mucho mejor todas las propiedades del té verde convencional, porque se está consumiendo la hoja entera del té y no sólo una infusión.</p>

<p>El té Matcha es origen chino, pero de uso más difundido en Japón. El proceso de elaboración del té Matcha comienza cuando las plantas de té son cubiertas para protegerlas de los rayos solares. De ese modo se logra que el té posea muchos más aminoácidos y, además, que resulte más dulce, obteniendo una coloración verde más intensa.</p>

<h3>Modo de preparación</h3>

<ul>
<li>Llevar a ebullición el agua</li>
<li>Dejar enfriar el agua unos 10 minutos, hasta que alcance unos 80º C</li>
<li>Poner 1 gr. de té Matcha (½ cucharadita) en una tasa</li>
<li>Verter aprox. 200 ml de agua (80º C) sobre el té</li>
<li>Batir con el batidor de bambú para Matcha</li>
</ul>

<h3>Beneficios</h3>

<ol>
<li>Incrementa el nivel de energía hasta por 4 horas.</li>
<li>Crea un estado de alerta mental relajado y tranquilo.</li>
<li>Aumenta el metabolismo hasta un 40% en los consumidores habituales.</li>
<li>Ayuda a mantener niveles saludables de azúcar en la sangre.</li>
<li>Mantiene los niveles de colesterol dentro de un rango normal.</li>
<li>Actuar como un alcalinizante y desintoxicante sanguíneo potente.</li>
<li>Ayuda a fomentar dientes y encías sanos.</li>
</ol>","<p>Té Verde Matcha en polvo. Todos los beneficios del té verde de manera mucho más intensa, en un producto delicioso, saludable y 100% natural</p>
<p>Al consumir té Matcha se logra asimilar mucho mejor todas las propiedades del té verde convencional, porque se está consumiendo la hoja entera del té y no sólo una infusión.</p>",,,,,,,,,5,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,0,1,0,1,0.0000,1,0,0,0,1,Té Matcha: Té Verde en Polvo,1,simple,,,100 grs. - Frasco de acrílico,,,,,
es,base,Accesorios,simple,"4,10,18",http://magento-dev.kongo.cl/batidor-de-bambu-para-te-matcha?___store=es,100200,0,Batidor de Bambú para Té Matcha,Batidor de Bambú para Té Matcha | ArTea: Tienda de Té,,,,,batidor-de-bambu-para-te-matcha,batidor-de-bambu-para-te-matcha,,No layout updates,Product Info Column,Batidor de Bambú para Té Matcha,Batidor de Bambú para Té Matcha,Batidor de Bambú para Té Matcha,China,Use config,Use config,No,12900.0000,,0.0500,,Natural,Enabled,No,"Catalog, Search",Shipping,"<p>El batidor es un utensilio hecho a mano que se utiliza para hacer el té matcha.</p>

<p>A partir de un trozo de bambú se elabora manualmente un pequeño batidor de mano con 120, 100 u 80 varillas. Son fabricados por artesanos especializados, quienes han transmitido la técnica de fabricación de generación en generación.</p>

<h3>Receta de preparación del Té Matcha</h3>

<p>Mezclar menos de una cucharadita de té matcha con 200 ml de agua caliente a 80ºC. Batir con un batidor de bambú para obtener espuma. Luego, se le puede agregar leche y endulzar. Para obtener agua a 80ºC, se debe esperar 10 minutos después de hervida.</p>",<p>Batidor de bambú para preparar el té matcha. Hecho 100% a mano.</p>,,,,,,,,,5,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,0,1,0,1,0.0000,1,0,0,0,1,Batidor de Bambú para Té Matcha,1,simple,,,,,,,,
es,base,Té,configurable,"23,24",http://magento-dev.kongo.cl/blooming-tea-te-de-flores?___store=es,1101,1,Blooming Tea,Blooming Tea | ArTea: Tienda de Té,,,,,blooming-tea-te-de-flores,blooming-tea-te-de-flores,,No layout updates,Product Info Column,Blooming Tea,Blooming Tea,Blooming Tea,China,Use config,Use config,No,3500.0000,,,,,Enabled,No,"Catalog, Search",Shipping,"<p>Dentro de cada bolita de té de jazmín se encuentra encerrada con artesanal maestría, una exótica flor. Su secreto será revelado una vez que la bolita sea depositada en un recipiente con agua hirviendo. Ésta empezará a abrirse muy despacio y, al final de la puesta en escena, surgirá la flor que esconde dentro con gran colorido y forma.</p>
<p><strong>Cada flor rinde 800 ml.</strong></p>",<p>Los Blooming Tea son arreglos florales cuidadosamente transformados en pequeñas bolitas que combinan una flor y hojas de té.</p>,,,,,,,,,5,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,0,1,0,1,0.0000,1,0,0,0,1,Blooming Tea,1,configurable,,,,,,,,
es,base,Accesorios,configurable,"4,15",http://magento-dev.kongo.cl/infusor-de-te-clip?___store=es,1201,1,Infusor de Té – Clip,Infusor de Té – Clip | ArTea: Tienda de Té,,,,,infusor-de-te-clip,infusor-de-te-clip,,No layout updates,Product Info Column,Infusor de Té – Clip,Infusor de Té – Clip,Infusor de Té – Clip,China,Use config,Use config,No,2500.0000,,0.0100,,,Enabled,No,"Catalog, Search",Shipping,"<p>Práctico infusor que te permitirá disfrutar, de manera individual, de tus infusiones favoritas. El infusor consiste en un depósito tipo cuchara con filtro, con un mango tipo clip para afirmar el infusor al borde la taza al momento de preparar el té.</p>

<p>Práctico, cómodo, entretenido y reutilizable. Sólo debes colocar en su interior la infusión que desees preparar y ¡listo!</p>

<p>¡Dale un toque entretenido a la hora de tomar té!</p>","<p>Infusor con mango tipo clip, para afirmar el infusor al borde de la taza al momento de preparar el té.</p>",,,,,,,,,5,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,0,1,0,1,0.0000,1,0,0,0,1,Infusor de Té – Clip,1,configurable,,,,,,,,
es,base,Accesorios,configurable,"4,15",http://magento-dev.kongo.cl/infusor-de-te-nota-musical?___store=es,1202,1,Infusor de Té – Nota Musical,Infusor de Té – Nota Musical | ArTea: Tienda de Té,,,,,infusor-de-te-nota-musical,infusor-de-te-nota-musical,,No layout updates,Product Info Column,Infusor de Té – Nota Musical,Infusor de Té – Nota Musical,Infusor de Té – Nota Musical,China,Use config,Use config,No,2000.0000,,0.0100,,,Enabled,No,"Catalog, Search",Shipping,<p>Infusor de té con forma de nota musical.</p>,"<p>Un precioso infusor que te permitirá disfrutar, de manera individual, de tus infusiones favoritas. Práctico, cómodo, entretenido y reutilizable. Sólo debes colocar en su interior la infusión que desees preparar y ¡listo!</p>

<p>¡Dale un toque entretenido a la hora de tomar té!</p>",,,,,,,,,5,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,0,1,0,1,0.0000,1,0,0,0,1,Infusor de Té – Nota Musical,1,configurable,,,,,,,,
es,base,Accesorios,configurable,"4,15",http://magento-dev.kongo.cl/infusor-de-te-cisne?___store=es,1203,1,Infusor de Té – Cisne,Infusor de Té – Cisne | ArTea: Tienda de Té,,,,,infusor-de-te-cisne,infusor-de-te-cisne,,No layout updates,Product Info Column,Infusor de Té – Cisne,Infusor de Té – Cisne,Infusor de Té – Cisne,China,Use config,Use config,No,2500.0000,,0.0200,,,Enabled,No,"Catalog, Search",Shipping,"<p>Un precioso infusor con forma de cisne, que te permitirá disfrutar, de manera individual, de tus infusiones favoritas.</p>

<p>Práctico, cómodo, entretenido y reutilizable. Sólo debes colocar en su interior la infusión que desees preparar y ¡listo!</p>

<p>¡Dale un toque entretenido a la hora de tomar té!</p>",<p>Infusor con forma de cisne.</p>,,,,,,,,,5,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,0,1,0,1,0.0000,1,0,0,0,1,Infusor de Té – Cisne,1,configurable,,,,,,,,
es,base,Accesorios,configurable,"4,15",http://magento-dev.kongo.cl/infusor-de-te-cuchara?___store=es,1204,1,Infusor de Té – Cuchara,Infusor de Té – Cuchara | ArTea: Tienda de Té,,,,,infusor-de-te-cuchara,infusor-de-te-cuchara,,No layout updates,Product Info Column,Infusor de Té – Cuchara,Infusor de Té – Cuchara,Infusor de Té – Cuchara,China,Use config,Use config,No,2000.0000,,0.0100,,,Enabled,No,"Catalog, Search",Shipping,"<p>Un precioso infusor con forma de cuchara, que te permitirá disfrutar, de manera individual, de tus infusiones favoritas. Sirve también para revolver tu té.</p>

<p>Práctico, cómodo, entretenido y reutilizable. Sólo debes colocar en su interior la infusión que desees preparar y ¡listo!</p>

<p>¡Dale un toque entretenido a la hora de tomar té!</p>",<p>Infusor con forma de cuchara</p>,,,,,,,,,5,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,0,1,0,1,0.0000,1,0,0,0,1,Infusor de Té – Cuchara,1,configurable,,,,,,,,
es,base,Accesorios,configurable,"4,15",http://magento-dev.kongo.cl/infusor-de-te-frutilla?___store=es,1205,1,Infusor de Té – Frutilla,Infusor de Té – Frutilla | ArTea: Tienda de Té,,,,,infusor-de-te-frutilla,infusor-de-te-frutilla,,No layout updates,Product Info Column,Infusor de Té – Frutilla,Infusor de Té – Frutilla,Infusor de Té – Frutilla,China,Use config,Use config,No,2500.0000,,0.0200,,,Enabled,No,"Catalog, Search",Shipping,"<p>Un precioso infusor de silicona con forma de frutilla, que te permitirá disfrutar, de manera individual, de tus infusiones favoritas.</p>

<p>Práctico, cómodo, entretenido y reutilizable. Sólo debes colocar en su interior la infusión que desees preparar y ¡listo!</p>

<p>¡Dale un toque entretenido a la hora de tomar té!</p>",<p>Infusor de silicona con forma de frutilla.</p>,,,,,,,,,5,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,0,1,0,1,0.0000,1,0,0,0,1,Infusor de Té – Frutilla,1,configurable,,,,,,,,
es,base,Accesorios,configurable,"4,15",http://magento-dev.kongo.cl/infusor-de-te-mr-tea?___store=es,1206,1,Infusor de Té – Mr. Tea,Infusor de Té – Mr. Tea | ArTea: Tienda de Té,,,,,infusor-de-te-mr-tea,infusor-de-te-mr-tea,,No layout updates,Product Info Column,Infusor de Té – Mr. Tea,Infusor de Té – Mr. Tea,Infusor de Té – Mr. Tea,China,Use config,Use config,No,4900.0000,,0.0300,,,Enabled,No,"Catalog, Search",Shipping,"<p>Un precioso infusor de silicona que te permitirá disfrutar, de manera individual, de tus infusiones favoritas. Tiene forma de Mr.Tea, quien se agarra con sus brazos al borde de la taza como si se estuviera bañando en una piscina.</p>

<p>Práctico, cómodo, entretenido y reutilizable. Sólo debes colocar en su interior la infusión que desees preparar y ¡listo!</p>

<p>¡Dale un toque entretenido a la hora de tomar té!</p>",<p>Infusor de silicona con forma de Mr. Tea.</p>,,,,,,,,,5,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,0,1,0,1,0.0000,1,0,0,0,1,Infusor de Té – Mr. Tea,1,configurable,,,,,,,,
es,base,Accesorios,configurable,"4,15",http://magento-dev.kongo.cl/infusor-de-te-tiburon?___store=es,1207,1,Infusor de Té – Tiburón,Infusor de Té – Tiburón | ArTea: Tienda de Té,,,,,infusor-de-te-tiburon,infusor-de-te-tiburon,,No layout updates,Product Info Column,Infusor de Té – Tiburón,Infusor de Té – Tiburón,Infusor de Té – Tiburón,China,Use config,Use config,No,4900.0000,,0.0510,,,Enabled,No,"Catalog, Search",Shipping,"<p>Un precioso infusor de silicona que te permitirá disfrutar, de manera individual, de tus infusiones favoritas. Tiene forma de tiburón, quien se agarra con su boca al borde de la taza.</p>",<p>Infusor de silicona con forma de Tiburón.</p>,,,,,,,,,5,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,,1,0,1,0,1,0.0000,1,0,0,0,1,Infusor de Té – Tiburón,1,configurable,,,,,,,,
