"Add to Google Base","Añadir a Google Base"
"Add Attribute Mapping","Añadir atributo de mapeo"
"Add New Attribute","Añadir nueevo atributo"
"Active","Activa"
"Update Google Base item when product is updated","Actualizar Item Google Base cuando se actualize el producto"
"Germany","Alemania"
"Attribute","Atributo"
"Google Base Attribute","Atributo Google Base"
"Attributes","Atributos"
"Custom attribute, no mapping","Atributos personalizados, sin mapeo"
"AuthSub","AuthSub"
"Are you sure?","¿Está seguro?"
"Delete","Borrar"
"Delete Mapping","Borrar Mapeo"
"Captcha confirmed successfully","Captcha Confirmado correctamente"
"Clicks","Clics"
"Attribute Set and Item Type","Configuración de Atributo y Tipo de Item"
"Attributes Set","Configuración de Atributos"
"Attribute Set","Configurar Atributo"
"Confirm","Confirmar"
"Account password","Contraseña de la Cuenta"
"Edit Item Type","Editar Tipo de Item"
"Edit Item Type ""%s""","Editar Tipo de Item ""%s"""
"Current Mapping will be reloaded. Continue?","El mapeo actual se recargará. ¿Continuar?"
"Captcha confirmation error: %s","Error de Confirmación Captcha: %s"
"Error: %s","Error: %s"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta acción actualiza las estadísticas del item y retira los items que no están disponibles en Google Base. ¿Continuar?"
"United States","Estados Unidos"
"Manage Attributes","Gestionar Atributos"
"Manage Items","Gestionar Items"
"Manage Attribute Mapping","Gestionar Mapeo de Atributos"
"Google Base","Google Base"
"Save Mapping","Grabar Mapeo"
"Google Base ID","ID Google Base"
"Impr.","Impr."
"ClientLogin","IngresoCliente"
"Items","Items"
"Google Base Items","Items Google Base"
"Attributes mapping","Mapeo de Atributos"
"Item model is not specified to delete Google Base entry","Modelo de Item no especificado para borrar entrada Google Base"
"Invalid Product Model for Google Base Item","Modelo de Producto incorrecto para Item Google Base"
"No","No"
"No items were saved as Inactive items","No hay items guuardados como inactivos"
"No items were published","No hay items publicados"
"No products were added to Google Base","No hay productos agregados a Google Base"
"Unable to connect to Google Base. Please, check Account settings in configuration.","No se úede conectar a Google Base. Por favor, verifique las configuraiones de la cuenta."
"No items were deleted from Google Base","No se borraron items de Google Base"
"Object model is not specified to save Google Base entry","No se especificó modelo de objeto para grabarlo como entrada Google Base"
"Product Name","Nombre de Producto"
"New Item Type","Nuevo Tipo de Item"
"Hide","Ocultar"
"Target Country","País Destino"
"Page views","Páginas vistas"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, elija el conjunto de atributos y el Tipo de Elemento Google para cargar atributos"
"Available Products","Productos Disponibles"
"Published","Publicado"
"Publish","Publicado"
"United Kingdom","Reino Unido"
"Remove","Retirado"
"Yes","Si"
"Synchronize","Sincronizar"
"Default Store (%s)","tienda por Defecto (%s)"
"Item Type was deleted","Tipo de Item borrado"
"Google Base Item type","Tipo de Item Google Base"
"Google Base Item Type","Tipo de Item Google Base"
"Item type was successfully saved","Tipo de Item grabado correctamente"
"Item Types","Tipos de Item"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Total de %d items(s) borrados correctamente, Total de %d items(s) actualizados correctamente"
"Total of %d items(s) were successfully saved as Inactive items","Total de %d items(s) grabsdos correctamente como inactivos"
"Total of %d items(s) were successfully published","Total de %d items(s) publicados correctamente"
"Total of %d items(s) were successfully removed from Google Base","Total de %d items(s) retirados correctamente de Google Base"
"Total of %d product(s) were successfully added to Google Base","Total de %d product(s) añadidos correctamente a Google Base"
"Account login","Usuario de Cuenta"
"Expires","Vencimineto"
"View Item in Google Base","Ver Item en Google Base"
"View Available Products","Ver Productos Disponibles"
