"%s is not supported currency.","%s no es una moneda aceptada."
"Error address action","Acción en error de dirección"
"Undetermined email action","Accion de correo indeterminada"
"Accept","Aceptada"
"Enable sales and use tax","Activar impuestos de ventas y usuario"
"Enable foreign exchange rate","Activar Tipo de Cambio"
"Enable email verification","Activar verificación de correo"
"Enable US address verification","Activar verificación de dirección en USA"
"Enable global address verification","Activarverificación de dirección global"
"Basic","Básico"
"Product Tax Class","Clase de impuesto de producto"
"Complete","Completo"
"Strikeiron Config","Configuración Strikeiron"
"Password","Contraseña"
"Invalid email address","Correo Electrónico incorrecto"
"Error Email Recipient","Destinatario de Correo de Error"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","El correo electrónico no se ha verificado. Asegúrese que se ha ingresado la dirección correcta."
"There is an error in retrieving tax rate. Please contact us","Hay un error en la recuperación del tipo impositivo. Póngase en contacto con nosotros"
"There is an error in verifying an email. Please contact us.","Hay un error en la verificación de su correo electrónico. Póngase en contacto con nosotros."
"User ID","ID de Usuario"
"Tax","Impuesto"
"Customer Tax Class","Impuesto al Cliente"
"Sales and Use Tax","Impuesto de Ventas y Usuario"
"There is no more hits remaining for the foreign Exchange Rate Service.","No hay más visitas para el resto del Servicio de tipo de cambio"
"There is no response back from Strikeiron server","No hay respuesta desde el Servidor Strikeiron"
"Cannot retrieve rate from %s to %s","No se puede recuperar la tasa de %s a %s"
"Cannot retreive rate from strikeirion.","No se puede recuperar la tasa desde strikeirion."
"Error Email Template","Plantilla de correo de error"
"Pop up warning and accept","Pop up advertencia y aceptar"
"Reject","Rechazar"
"Error Email Sender","Remitente de correo de error"
"Strikeiron Section","Sección Strikeiron"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Si el tipo es compuesto y el código postal pertenece a varios tipos impositivos, optar por cobrar la tasa impositiva mínima o máxima."
"Strikeiron","Strikeiron"
"Maximum tax rate","Tasa máxima de impuestos"
"Minimum tax rate","tasa mínima de impuestos"
"Foreign Exchange Rates","Tasas de Cambio"
"Strikeiron foreign exchange rate is disabled","Tipo de Cambio Strikeiron está desactivado"
"Sales and Use Tax Type","Tipo de Impuesto de Ventas y Usuario"
"Use","Usar"
"Email Verification","Verificación de Correo"
"US Address Verification","Verificación de dirección en USA"
"Global Address Verification","Verificación de dirección global"
"Check all email servers","Verificando todos los servidores de correo"
"Verify email in admin","Verificar correo electrónico en admin"
"Verify address in admin","Verificar dirección en admin"
