"store","websites","attribute_set","type","category_ids","url","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","color","status","is_recurring","visibility","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","format","sku_type","weight_type","price_type","price_view","shipment_type"
"es","base","Accesorios","simple","4,18","http://magento-dev.kongo.cl/batidor-de-bambu-para-te-matcha?___store=es","100200","0","Batidor de Bambú para Té Matcha","Batidor de Bambú para Té Matcha | ArTea: Tienda de Té","","/b/a/batidor-bambu-te-matcha.jpg","/b/a/batidor-bambu-te-matcha.jpg","/b/a/batidor-bambu-te-matcha.jpg","batidor-de-bambu-para-te-matcha","batidor-de-bambu-para-te-matcha","","No layout updates","Product Info Column","Batidor de Bambú para Té Matcha","Batidor de Bambú para Té Matcha","Batidor de Bambú para Té Matcha","China","Use config","Use config","No","12900.0000","10900.0000","0.0500","","Natural","Enabled","No","Catalog, Search","Shipping","<p>El batidor es un utensilio hecho a mano que se utiliza para hacer el té matcha.</p>
<p>A partir de un trozo de bambú se elabora manualmente un pequeño batidor de mano con 120, 100 u 80 varillas. Son fabricados por artesanos especializados, quienes han transmitido la técnica de fabricación de generación en generación.</p>
<h3>Receta de preparación del Té Matcha</h3>
<p>Mezclar menos de una cucharadita de té matcha con 200 ml de agua caliente a 80ºC. Batir con un batidor de bambú para obtener espuma. Luego, se le puede agregar leche y endulzar. Para obtener agua a 80ºC, se debe esperar 10 minutos después de hervida.</p>","<p>Batidor de bambú para preparar el té matcha. Hecho 100% a mano.</p>","","","2015-07-31 00:00:00","","","","","","20.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Batidor de Bambú para Té Matcha","1","simple","","","","","","","",""
"es","base","Té","simple","5,10","http://magento-dev.kongo.cl/matcha-te-verde-en-polvo?___store=es","100100","0","Té Matcha: Té Verde en Polvo","","","/m/a/matcha-1.jpg","/m/a/matcha-1.jpg","/m/a/matcha-1.jpg","matcha-te-verde-en-polvo","matcha-te-verde-en-polvo","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","9900.0000","","0.1000","","","Enabled","No","Catalog, Search","Shipping","<p>El té verde tiene muchas variedades para ofrecer. Las hay en todas las variantes que podamos imaginar. Y también viene en polvo, conociéndose como té Matcha a ese tipo de té verde. El té Matcha sirve tanto para ser bebido (frío o caliente) como así también para colaborar en la preparación de diversas comidas.</p>
<p>Al consumir té Matcha se logra asimilar mucho mejor todas las propiedades del té verde convencional, porque se está consumiendo la hoja entera del té y no sólo una infusión.</p>
<p>El té Matcha es origen chino, pero de uso más difundido en Japón. El proceso de elaboración del té Matcha comienza cuando las plantas de té son cubiertas para protegerlas de los rayos solares. De ese modo se logra que el té posea muchos más aminoácidos y, además, que resulte más dulce, obteniendo una coloración verde más intensa.</p>
<h3>Modo de Preparación</h3>
<ul>
<li>Llevar a ebullición el agua</li>
<li>Dejar enfriar el agua hasta que alcance unos 80º C</li>
<li>Poner 1 g de té Matcha (½ cucharadita) en una tasa</li>
<li>Verter aprox. 200 ml de agua (80º C) sobre el té</li>
<li>Batir con el batidor de bambú para Matcha</li>
</ul>
<h3>Beneficios</h3>
<ol>
<li>Incrementa el nivel de energía hasta por 4 horas.</li>
<li>Crea un estado de alerta mental relajado y tranquilo.</li>
<li>Aumenta el metabolismo hasta un 40% en los consumidores habituales.</li>
<li>Ayuda a mantener niveles saludables de azúcar en la sangre.</li>
<li>Mantiene los niveles de colesterol dentro de un rango normal.</li>
<li>Actuar como un alcalinizante y desintoxicante sanguíneo potente.</li>
<li>Ayuda a fomentar dientes y encías sanos.</li>
</ol>","<p>Té Verde Matcha en polvo. Todos los beneficios del té verde de manera mucho más intensa, en un producto delicioso, saludable y 100% natural</p>
<p>Al consumir té Matcha se logra asimilar mucho mejor todas las propiedades del té verde convencional, porque se está consumiendo la hoja entera del té y no sólo una infusión.</p>","","","2015-08-07 00:00:00","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Té Matcha: Té Verde en Polvo","1","simple","","","50 grs. - Frasco de acrílico","","","","",""
"es","base","Accesorios","configurable","4,15","http://magento-dev.kongo.cl/infusor-frutilla?___store=es","120500","1","Infusor de Té Frutilla","","","/f/r/frutilla-roja_3.jpg","/f/r/frutilla-roja_3.jpg","/f/r/frutilla-roja_3.jpg","infusor-frutilla","infusor-frutilla","","No layout updates","Product Info Column","","","","China","Use config","Use config","No","2500.0000","","","","","Enabled","","Catalog, Search","Shipping","<p>Un precioso infusor de silicona que te permitirá disfrutar, de manera individual, de tus infusiones favoritas. Práctico, cómodo, entretenido y reutilizable. Sólo debes colocar en su interior la infusión que desees preparar y ¡listo!</p>
<p>¡Dale un toque entretenido a la hora de tomar té!</p>","<p>Infusor de silicona con forma de frutilla</p>","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Infusor de Té Frutilla","1","configurable","","","","","","","",""
"es","base","Accesorios","simple","","http://magento-dev.kongo.cl/infusor-de-te-frutilla-rojo?___store=es","120500-Red","0","Infusor de Té Frutilla Rojo","","","/f/r/frutilla-roja.jpg","/f/r/frutilla-roja.jpg","/f/r/frutilla-roja.jpg","infusor-de-te-frutilla-rojo","infusor-de-te-frutilla-rojo","","No layout updates","Product Info Column","","","","China","Use config","Use config","No","2500.0000","","0.0150","","Red","Enabled","No","Not Visible Individually","Shipping","<p>Un precioso infusor de silicona que te permitirá disfrutar, de manera individual, de tus infusiones favoritas. Práctico, cómodo, entretenido y reutilizable. Sólo debes colocar en su interior la infusión que desees preparar y ¡listo!</p>
<p>¡Dale un toque entretenido a la hora de tomar té!</p>","<p>Infusor de silicona con forma de frutilla</p>","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Infusor de Té Frutilla Rojo","1","simple","","","","","","","",""
"es","base","Accesorios","simple","","http://magento-dev.kongo.cl/infusor-de-te-frutilla-amarillo?___store=es","120500-Yellow","0","Infusor de Té Frutilla Amarillo","","","/f/r/frutilla-amarilla.jpg","/f/r/frutilla-amarilla.jpg","/f/r/frutilla-amarilla.jpg","infusor-de-te-frutilla-amarillo","infusor-de-te-frutilla-amarillo","","No layout updates","Product Info Column","","","","China","Use config","Use config","No","2500.0000","","0.0150","","Yellow","Enabled","No","Not Visible Individually","Shipping","<p>Un precioso infusor de silicona que te permitirá disfrutar, de manera individual, de tus infusiones favoritas. Práctico, cómodo, entretenido y reutilizable. Sólo debes colocar en su interior la infusión que desees preparar y ¡listo!</p>
<p>¡Dale un toque entretenido a la hora de tomar té!</p>","<p>Infusor de silicona con forma de frutilla</p>","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Infusor de Té Frutilla Amarillo","1","simple","","","","","","","",""
"es","base","Accesorios","simple","","http://magento-dev.kongo.cl/infusor-de-te-frutilla-rosado?___store=es","120500-Pink","0","Infusor de Té Frutilla Rosado","","","/f/r/frutilla-rosada.jpg","/f/r/frutilla-rosada.jpg","/f/r/frutilla-rosada.jpg","infusor-de-te-frutilla-rosado","infusor-de-te-frutilla-rosado","","No layout updates","Product Info Column","","","","China","Use config","Use config","No","2500.0000","","0.0150","","Pink","Enabled","No","Not Visible Individually","Shipping","<p>Un precioso infusor de silicona que te permitirá disfrutar, de manera individual, de tus infusiones favoritas. Práctico, cómodo, entretenido y reutilizable. Sólo debes colocar en su interior la infusión que desees preparar y ¡listo!</p>
<p>¡Dale un toque entretenido a la hora de tomar té!</p>","<p>Infusor de silicona con forma de frutilla</p>","","","","","","","","","10.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Infusor de Té Frutilla Rosado","1","simple","","","","","","","",""
"es","base","Té","simple","","http://magento-dev.kongo.cl/te-verde-bolsa-papel-50-grs?___store=es","140100-1","0","Té Verde: Bolsa Papel 50 grs.","","","","","","te-verde-bolsa-papel-50-grs","te-verde-bolsa-papel-50-grs","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","2100.0000","","0.0500","","","Enabled","No","Not Visible Individually","Shipping","<p>El Té Verde el tipo de té mas popular, principalmente por ser la bebida mas consumida en Asia. Algunos té verdes son perfumados con esencias de flores mezclados con frutas para crear tés aromatizados y con sabor. Este tipo de té contiene sólamente un 5 a 10% de cafeína por taza. Además, posee gran cantidad de antioxidantes, es bueno para la piel y los dientes y puede usarse para mantener un nivel de azúcar saludable en la sangre.</p>","<p>El Té Verde posee gran cantidad de antioxidantes, es bueno para la piel y los dientes y puede usarse para mantener un nivel de azúcar saludable en la sangre.</p>","","","","","","","","","3.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Té Verde: Bolsa Papel 50 grs.","1","simple","","","50 grs. - Bolsa de papel","","","","",""
"es","base","Té","simple","","http://magento-dev.kongo.cl/te-verde-bolsa-papel-100-grs?___store=es","140102","0","Té Verde: Bolsa Papel 100 grs.","","","","","","te-verde-bolsa-papel-100-grs","te-verde-bolsa-papel-100-grs","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","3800.0000","","0.1000","","","Enabled","No","Not Visible Individually","Shipping","<p>El Té Verde el tipo de té mas popular, principalmente por ser la bebida mas consumida en Asia. Algunos té verdes son perfumados con esencias de flores mezclados con frutas para crear tés aromatizados y con sabor. Este tipo de té contiene sólamente un 5 a 10% de cafeína por taza. Además, posee gran cantidad de antioxidantes, es bueno para la piel y los dientes y puede usarse para mantener un nivel de azúcar saludable en la sangre.</p>","<p>El Té Verde posee gran cantidad de antioxidantes, es bueno para la piel y los dientes y puede usarse para mantener un nivel de azúcar saludable en la sangre.</p>","","","","","","","","","3.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Té Verde: Bolsa Papel 100 grs.","1","simple","","","100 grs. - Bolsa de papel","","","","",""
"es","base","Té","configurable","5","http://magento-dev.kongo.cl/te-verde-puro?___store=es","140100","1","Té Verde Puro","","","/t/e/te-verde-1_1_1.jpg","/t/e/te-verde-1_1_1.jpg","/t/e/te-verde-1_1_1.jpg","te-verde-puro","te-verde-puro","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","2100.0000","","","","","Enabled","","Catalog, Search","Shipping","<p>El Té Verde el tipo de té mas popular, principalmente por ser la bebida mas consumida en Asia. Algunos té verdes son perfumados con esencias de flores mezclados con frutas para crear tés aromatizados y con sabor. Este tipo de té contiene sólamente un 5 a 10% de cafeína por taza. Además, posee gran cantidad de antioxidantes, es bueno para la piel y los dientes y puede usarse para mantener un nivel de azúcar saludable en la sangre.</p>","<p>El Té Verde posee gran cantidad de antioxidantes, es bueno para la piel y los dientes y puede usarse para mantener un nivel de azúcar saludable en la sangre.</p>","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Té Verde Puro","1","configurable","","","","","","","",""
"es","base","Default","bundle","12","http://magento-dev.kongo.cl/pack-te-matcha-frasco-100-grs-batidor-de-bambu?___store=es","202020","1","Pack Té Matcha Frasco 100 grs + Batidor de Bambú","","","","","","pack-te-matcha-frasco-100-grs-batidor-de-bambu","pack-te-matcha-frasco-100-grs-batidor-de-bambu","","No layout updates","Product Info Column","","",""," ","No","","No","","","","","","Enabled","","Catalog, Search","","<p>Té Verde Matcha en polvo. Todos los beneficios del té verde de manera mucho más intensa, en un producto delicioso, saludable y 100% natural.</p>
<p>Al consumir té Matcha se logra asimilar mucho mejor todas las propiedades del té verde convencional, porque se está consumiendo la hoja entera del té y no sólo una infusión.</p>
<p>El batidor es un utensilio hecho a mano que se utiliza para hacer el té matcha.</p>
<p>A partir de un trozo de bambú se elabora manualmente un pequeño batidor de mano con 120, 100 u 80 varillas. Son fabricados por artesanos especializados, quienes han transmitido la técnica de fabricación de generación en generación.</p>","<p>El pack contiene:</p>
<ul>
<li>1 frasco Té Matcha 100 grs</li>
<li>1 Batidor de Bambú para Té Marcha, hecho a mano</li>
</ul>","","","2015-08-07 00:00:00","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Pack Té Matcha Frasco 100 grs + Batidor de Bambú","1","bundle","","","","0","0","0","Price Range","0"
