"* Required Fields","* Campos Obligatorios"
"To","A"
"Add","Añadir"
"Add Gift Message","Añadir mensaje del regalo"
"Are you sure?","¿Está Seguro?"
"Do you have any gift items in your order?","¿Tiene un artículo de regalo en su pedido?"
"Cancel","Cancelar"
"Close","Cerrar"
"From","De"
"Edit","Editar"
"Edit Gift Message","Editar Mensaje del Regalo"
"Gift message has been successfully saved","El mensaje del regalo se ha grabado correctamente"
"Error while saving gift message","Error al grabar el mensaje del regalo"
"Save","Grabar"
"Save Gift Message","Grabar Mensaje del Regalo"
"Enter a gift message for this address.","Ingresar un mensaje del regalo para la dirección."
"Enter a gift message for entire order.","Ingresar un mensaje del regalo para todo el pedido."
"Enter a gift message for each item in your order.","Ingresar un mensaje del regalo por cada artículo en su pedido."
"Item %d of %d","Item %d de %d"
"Check this checkbox if you want to add gift messages to your items.","Marque este checkbox si desea añadir mensajes del regalo a sus artículos."
"Check this checkbox if you want to add gift messages.","Marque este checkbox si desea añadir mensajes del regalo."
"Message","Mensaje"
"Gift Message","Mensaje del Regalo"
"Gift Messages","Mensajes del Regalo"
"No","No"
"Allow Gift Messages on Order Level","Permitir mensajes del regalo en Nivel Pedido"
"Allow Gift Messages for Order Items","Permitir mensajes del regalo para itéms del pedido"
"You can leave a box blank if you don't wish to add a gift message for the item.","Puede dejar la casilla en blanco si no desea agregar un mensaje del regalo para el artículo."
"You can leave a box blank if you don't wish to add a gift message for this address.","Puede dejar la casilla en blanco si no desea agregar un mensaje del regalo para la dirección.."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Puede dejar la casilla en blanco si no desea agregar un mensaje del regalo para toda el pedido."
"Remove","Retirar"
"Yes","Si"
"Your gift message has been successfully removed","Su mensaje del regalo se ha eliminado"
"Your gift message successfully removed","Su mensaje del regalo se ha eliminado"
"Your gift message has been successfully saved","Su mensaje del regalo se ha grabado correctamente"
"Your gift message successfully saved","Su mensaje del regalo se ha grabado correctamente"
"Unknown entity type","Tipo de entidad desconocida"
"Use config","Usar configuración"
